Name,Birth/death dates,File name,century
Charles Fourier,1772–1837,Charles_Fourier.txt,19
Charles Hartshorne,1897–2000,Charles_Hartshorne.txt,20
Charles Leslie Stevenson,1908–1979,Charles_Leslie_Stevenson.txt,20
Charles Sanders Peirce,1839–1914,Charles_Sanders_Peirce.txt,19
Charles Secrétan,1815–1895,Charles_Secrétan.txt,19
Charles Taylor (philosopher),born 1931,Charles_Taylor_(philosopher).txt,20
"Charles de Secondat, Baron de Montesquieu",1689–1755,"Charles_de_Secondat,_Baron_de_Montesquieu.txt",18
Chauncey Wright,1830–1875,Chauncey_Wright.txt,19
Cheng Hao,1032–1085,Cheng_Hao.txt,11
Cheng Hsuan,127–200,Cheng_Hsuan.txt,2
Cheng Yi (philosopher),1033–1107,Cheng_Yi_(philosopher).txt,11
Chia Yi,201–169 BC,Chia_Yi.txt,-2
Chih Tun,314–366,Chih_Tun.txt,4
Chou Tun-Yi,1017–1073,Chou_Tun-Yi.txt,11
Christiaan Huygens,1629–1695,Christiaan_Huygens.txt,17
Christian August Crusius,1715–1775,Christian_August_Crusius.txt,18
Christian Friedrich Hebbel,1813–1863,Christian_Friedrich_Hebbel.txt,19
Christian Garve,1742–1798,Christian_Garve.txt,18
Christian Hermann Weisse,1801–1866,Christian_Hermann_Weisse.txt,19
Christian Thomasius,1655–1728,Christian_Thomasius.txt,17
Christian Wolff (philosopher),1679–1754,Christian_Wolff_(philosopher).txt,18
Christian von Ehrenfels,1856–1932,Christian_von_Ehrenfels.txt,19
Christine de Pizan,c. 1365 – c. 1430,Christine_de_Pizan.txt,14
Christoph Friedrich Nicolai,1733–1811,Christoph_Friedrich_Nicolai.txt,18
Christopher Jacob Boström,1797–1866,Christopher_Jacob_Boström.txt,19
Christopher Peacocke,born 1950,Christopher_Peacocke.txt,20
Chrysippus,279–207 BC,Chrysippus.txt,-3
Cicero,106 BC–43 BC,Cicero.txt,-1
Clarembald of Arras,1110–1187,Clarembald_of_Arras.txt,12
Clarence Irving Lewis,1883–1964,Clarence_Irving_Lewis.txt,20
Claude Adrien Helvétius,1715–1771,Claude_Adrien_Helvétius.txt,18
Claude Bernard,1813–1878,Claude_Bernard.txt,19
Claude Buffier,1661–1737,Claude_Buffier.txt,17
"Claude Henri de Rouvroy, Comte de Saint-Simon",1760–1825,"Claude_Henri_de_Rouvroy,_Comte_de_Saint-Simon.txt",18
Claude Lefort,1924–2010,Claude_Lefort.txt,20
Claude Lévi-Strauss,1908–2009,Claude_Lévi-Strauss.txt,20
Claudia Card,1940–2015,Claudia_Card.txt,20
Cleanthes,301–232 BC,Cleanthes.txt,-3
Clement of Alexandria,2nd–3rd century,Clement_of_Alexandria.txt,3
Cleomedes,2nd century,Cleomedes.txt,2
Colin McGinn,born 1950,Colin_McGinn.txt,20
Colin Wilson,1931–2013,Colin_Wilson.txt,20
Comenius,1592–1670,Comenius.txt,17
Confucius,551 BC–479 BC,Confucius.txt,-6
Constance Jones,1848–1922,Constance_Jones.txt,19
Conyers Middleton,1683–1750,Conyers_Middleton.txt,18
Cornel West,born 1953,Cornel_West.txt,20
Cornelius Castoriadis,1922–1997,Cornelius_Castoriadis.txt,20
Costanzo Preve,1943–2013,Costanzo_Preve.txt,20
Cotton Mather,1663–1728,Cotton_Mather.txt,17
Cratylus,c. 400 BC,Cratylus.txt,-5
Crispin Sartwell,born 1958,Crispin_Sartwell.txt,20
Crispin Wright,born 1942,Crispin_Wright.txt,20
Curt Ducasse,1881–1969,Curt_Ducasse.txt,20
Cyrano de Bergerac (writer),1619–1655,Cyrano_de_Bergerac_(writer).txt,17
D. Hugh Mellor,1938–2020,D._Hugh_Mellor.txt,20
Dagfinn Føllesdal,born 1932,Dagfinn_Føllesdal.txt,20
Damaris Cudworth Masham,1659–1708,Damaris_Cudworth_Masham.txt,17
Damascius,c. 462–540,Damascius.txt,6
Daniel Dennett,born 1942,Daniel_Dennett.txt,20
Daniel Raymond,1786–1849,Daniel_Raymond.txt,19
Dante Alighieri,1265–1321,Dante_Alighieri.txt,13
Dariush Shayegan,1935–2018,Dariush_Shayegan.txt,20
Daryush Shokof,born 1954,Daryush_Shokof.txt,20
David Baumgardt,1890–1963,David_Baumgardt.txt,20
David Bohm,1917–1992,David_Bohm.txt,20
David Fordyce,1711–1751,David_Fordyce.txt,18
David Friedrich Strauss,1808–1874,David_Friedrich_Strauss.txt,19
David Gauthier,born 1932,David_Gauthier.txt,20
David H.M. Brooks,1950-1996,David_H.M._Brooks.txt,20
David Hartley (philosopher),1705–1757,David_Hartley_(philosopher).txt,18
David Hilbert,1862–1943,David_Hilbert.txt,20
David Hume,1711–1776,David_Hume.txt,18
David Ibn Merwan Al-Mukammas,died 937,David_Ibn_Merwan_Al-Mukammas.txt,10
David Kaplan (philosopher),born 1933,David_Kaplan_(philosopher).txt,20
David Lewis (philosopher),1941–2001,David_Lewis_(philosopher).txt,20
David Malet Armstrong,1926–2014,David_Malet_Armstrong.txt,20
David Papineau,born 1947,David_Papineau.txt,20
David Pears,1921–2009,David_Pears.txt,20
David Ricardo,1772–1823,David_Ricardo.txt,18
David Stove,1927–1994,David_Stove.txt,20
David Sztybel,born 1967,David_Sztybel.txt,20
David Wiggins,born 1933,David_Wiggins.txt,20
David of Dinant,12th century,David_of_Dinant.txt,12
David the Invincible,late 6th century,David_the_Invincible.txt,6
Debendranath Tagore,1817–1905,Debendranath_Tagore.txt,19
Democritus,460–370 BC,Democritus.txt,-5
Denis Diderot,1713–1784,Denis_Diderot.txt,18
Denys the Carthusian,1402–1471,Denys_the_Carthusian.txt,15
Derek Parfit,1942–2017,Derek_Parfit.txt,20
Desiderius Erasmus,1466–1536,Desiderius_Erasmus.txt,16
Dewi Zephaniah Phillips,1934–2006,Dewi_Zephaniah_Phillips.txt,20
Dharmakirti,c. 7th century,Dharmakirti.txt,7
Dietrich Bonhoeffer,1906–1945,Dietrich_Bonhoeffer.txt,20
Dietrich of Freiberg,13th century,Dietrich_of_Freiberg.txt,13
Dignaga,c. 480–c. 540,Dignaga.txt,6
Dimitri Pisarev,1840–1868,Dimitri_Pisarev.txt,19
Dimitri Uznadze,1886–1950,Dimitri_Uznadze.txt,20
Diodorus Cronus,3rd century BC,Diodorus_Cronus.txt,-3
Diogenes Laërtius,3rd century,Diogenes_Laërtius.txt,3
Diogenes of Apollonia,c. 460 BC,Diogenes_of_Apollonia.txt,-5
Diogenes of Babylon,c. 230–c. 150/140 BC,Diogenes_of_Babylon.txt,-2
Diogenes of Oenoanda,2nd century,Diogenes_of_Oenoanda.txt,2
Diogenes of Sinope,412–323 BC,Diogenes_of_Sinope.txt,-4
Dirk Benedict,born 1945,Dirk_Benedict.txt,20
Dogen,1200–1253,Dogen.txt,13
Domenico Losurdo,1941–2018,Domenico_Losurdo.txt,20
Domingo Báñez,1528–1604,Domingo_Báñez.txt,16
Domingo de Soto,1494–1560,Domingo_de_Soto.txt,16
Donald Cary Williams,1899–1983,Donald_Cary_Williams.txt,20
Donald Davidson (philosopher),1917–2003,Donald_Davidson_(philosopher).txt,20
Dong Zhongshu,c. 176–c. 104,Dong_Zhongshu.txt,2
Dorothy Maud Wrinch,1894–1976,Dorothy_Maud_Wrinch.txt,20
Dugald Stewart,1753–1828,Dugald_Stewart.txt,18
Duns Scotus,c. 1266–1308,Duns_Scotus.txt,13
Durandus of St. Pourçain,c. 1275–1334,Durandus_of_St._Pourçain.txt,14
Désiré-Joseph Mercier,1851–1926,Désiré-Joseph_Mercier.txt,19
Edgar Morin,born 1921,Edgar_Morin.txt,20
Edgar S. Brightman,1884–1953,Edgar_S._Brightman.txt,20
Edith Stein,1891–1942,Edith_Stein.txt,20
Edmund Burke,1729–1797,Edmund_Burke.txt,18
Edmund Gettier,1927–2021,Edmund_Gettier.txt,20
Edmund Gurney,1847–1888,Edmund_Gurney.txt,19
Edmund Husserl,1859–1938,Edmund_Husserl.txt,19
Edmund Montgomery,1835–1911,Edmund_Montgomery.txt,19
Edouard Le Roy,1870–1954,Edouard_Le_Roy.txt,20
Eduard Bernstein,1850–1932,Eduard_Bernstein.txt,19
Eduard Hanslick,1825–1904,Eduard_Hanslick.txt,19
Eduard Von Hartmann,1842–1906,Eduard_Von_Hartmann.txt,19
Eduard Zeller,1814–1908,Eduard_Zeller.txt,19
Eduardo Rabossi,1930–2005,Eduardo_Rabossi.txt,20
Edvard Westermarck,1862–1939,Edvard_Westermarck.txt,20
Edward Bullough,1880–1934,Edward_Bullough.txt,20
Edward Caird,1835–1908,Edward_Caird.txt,19
Edward Carpenter,1844–1929,Edward_Carpenter.txt,19
Edward Gibbon,1737–1794,Edward_Gibbon.txt,18
"Edward Herbert, 1st Baron Herbert of Cherbury",1583–1648,"Edward_Herbert,_1st_Baron_Herbert_of_Cherbury.txt",17
Edward N. Zalta,born 1952,Edward_N._Zalta.txt,20
Edward Stachura,1937–1979,Edward_Stachura.txt,20
Edwin Holt,1873–1946,Edwin_Holt.txt,20
Ehrenfried Walther von Tschirnhaus,1651–1708,Ehrenfried_Walther_von_Tschirnhaus.txt,17
Eli Siegel,1902–1978,Eli_Siegel.txt,20
Elihu Palmer,1764–1806,Elihu_Palmer.txt,18
Elijah Delmedigo,1460–1497,Elijah_Delmedigo.txt,15
"Elisabeth of Bohemia, Princess Palatine",1618–1680,"Elisabeth_of_Bohemia,_Princess_Palatine.txt",17
Elliott Sober,born 1948,Elliott_Sober.txt,20
Emanuel Swedenborg,1688–1772,Emanuel_Swedenborg.txt,18
Emerich de Vattel,1714–1767,Emerich_de_Vattel.txt,18
Emil Brunner,1889–1966,Emil_Brunner.txt,20
Emil Cioran,1911–1995,Emil_Cioran.txt,20
Emil Fackenheim,1916–2003,Emil_Fackenheim.txt,20
Emil Leon Post,1897–1954,Emil_Leon_Post.txt,20
Emil du Bois-Reymond,1818–1896,Emil_du_Bois-Reymond.txt,19
Emile Boutroux,1845–1921,Emile_Boutroux.txt,19
Emile Meyerson,1859–1933,Emile_Meyerson.txt,19
Emmanuel Levinas,1906–1995,Emmanuel_Levinas.txt,20
Emmanuel Mounier,1905–1950,Emmanuel_Mounier.txt,20
Empedocles,490 BC–430 BC,Empedocles.txt,-5
Enrique Dussel,born 1934,Enrique_Dussel.txt,20
Enrique Molina Garmendia,1871–1962,Enrique_Molina_Garmendia.txt,20
Epicharmus,c. 540–450 BC,Epicharmus.txt,-5
Epictetus,AD 55–c. 135,Epictetus.txt,1
Epicurus,341 BC–270 BC,Epicurus.txt,-4
