Name,Birth/death dates,File name,Category,Field
Justus Buchler,1914–1991,Justus_Buchler.txt,20th-century American philosophers,
Justus Lipsius,1547–1606,Justus_Lipsius.txt,Catholic philosophers,
Jürgen Habermas,born 1929,Jürgen_Habermas.txt,Epistemologists,Philosophers of mind
Kaibara Ekiken,1630–1740,Kaibara_Ekiken.txt,Neo-Confucian scholars,
Kang Youwei,1858–1927,Kang_Youwei.txt,Chinese Confucianists,
Kao Tzu,c. 420 – 350 BC,Kao_Tzu.txt,Year of death unknown,
Karel Kosík,1926–2003,Karel_Kosík.txt,Marxist theorists,
Karen Swassjan,born 1948,Karen_Swassjan.txt,Russian philosophers,
Karl Barth,1886–1968,Karl_Barth.txt,Fellows of the American Academy of Arts and Sciences,
Karl Christian Friedrich Krause,1781–1832,Karl_Christian_Friedrich_Krause.txt,Epistemologists,Philosophers of mind
Karl Friedrich Bahrdt,1741–1792,Karl_Friedrich_Bahrdt.txt,German male non-fiction writers,
Karl Grün,1817–1887,Karl_Grün.txt,19th-century German male writers,
Karl Jaspers,1883–1969,Karl_Jaspers.txt,Philosophers of mind,Philosophers of mind
Karl Kautsky,1854–1938,Karl_Kautsky.txt,Marxist theorists,
Karl Korsch,1886–1961,Karl_Korsch.txt,20th-century essayists,
Karl Kraus (writer),1874–1936,Karl_Kraus_(writer).txt,Aphorists,
Karl Leonhard Reinhold,1757–1823,Karl_Leonhard_Reinhold.txt,Epistemologists,Philosophers of mind
Karl Mannheim,1893–1947,Karl_Mannheim.txt,Heidelberg University faculty,
Karl Marx,1818–1883,Karl_Marx.txt,Epistemologists,Philosophers of mind
Karl Nickerson Llywelyn,1893–1962,Karl_Nickerson_Llywelyn.txt,Columbia University faculty,
Karl Olivecrona,1897–1980,Karl_Olivecrona.txt,1897 births,
Karl Pearson,1857–1936,Karl_Pearson.txt,English philosophers,
Karl Philipp Moritz,1756–1793,Karl_Philipp_Moritz.txt,German male writers,
Karl Polanyi,1886–1964,Karl_Polanyi.txt,Philosophers of culture,Philosophers of culture
Karl Popper,1902–1994,Karl_Popper.txt,Epistemologists,Philosophers of mind
Karl Rahner,1904–1984,Karl_Rahner.txt,German male non-fiction writers,
Karl Renner,1870–1950,Karl_Renner.txt,1950 deaths,
Karl Wilhelm Ferdinand Solger,1780–1890,Karl_Wilhelm_Ferdinand_Solger.txt,German male writers,
Karl Wilhelm Friedrich Schlegel,1772–1829,Karl_Wilhelm_Friedrich_Schlegel.txt,Epistemologists,Philosophers of culture
Karl-Otto Apel,1922–2017,Karl-Otto_Apel.txt,Philosophers of culture,Philosophers of culture
Kazimierz Ajdukiewicz,1890–1963,Kazimierz_Ajdukiewicz.txt,Philosophers of science,Philosophers of science
Kazimierz Twardowski,1866–1938,Kazimierz_Twardowski.txt,Epistemologists,Philosophers of mind
Keith Lehrer,born 1936,Keith_Lehrer.txt,Epistemologists,
Kenelm Digby,1603–1665,Kenelm_Digby.txt,Knights Bachelor,
Kenneth Allen Taylor,1954–2019,Kenneth_Allen_Taylor.txt,Philosophers of mind,Philosophers of mind
Kenneth Arrow,1921–2017,Kenneth_Arrow.txt,Fellows of the American Academy of Arts and Sciences,
Khedrup Gelek Pelzang,1385–1438,Khedrup_Gelek_Pelzang.txt,Ganden Tripas,
Konstantin Kavelin,1818–1885,Konstantin_Kavelin.txt,1818 births,
Konstantin Nikolaevich Leont'ev,1831–1891,Konstantin_Nikolaevich_Leont'ev.txt,Eastern Orthodox philosophers,Philosophers of the Russian Empire
Kuki Shūzō,1888–1941,Kuki_Shūzō.txt,19th-century philosophers,
Kumazawa Banzan,1619–1691,Kumazawa_Banzan.txt,Japanese writers of the Edo period,
Kumārila Bhaṭṭa,fl. roughly 700,Kumārila_Bhaṭṭa.txt,Atheist philosophers,
Kuno Fischer,1824–1907,Kuno_Fischer.txt,German male non-fiction writers,
Kuo Hsiang,died c. 312,Kuo_Hsiang.txt,Jin dynasty (266–420) philosophers,
Kurt Baier,1917–2010,Kurt_Baier.txt,Moral philosophers,Philosophers of ethics and morality
Kurt Gödel,1906–1978,Kurt_Gödel.txt,Ontologists,
Kurt Koffka,1886–1941,Kurt_Koffka.txt,20th-century psychologists,
Kurt Lewin,1890–1947,Kurt_Lewin.txt,Jewish philosophers,
Kurt Singer,1886–1962,Kurt_Singer.txt,German male non-fiction writers,
Kwame Nkrumah,1909–1972,Kwame_Nkrumah.txt,Anti-imperialism,
Kwasi Wiredu,born 1931,Kwasi_Wiredu.txt,Duke University faculty,
Kūkai,774–835,Kūkai.txt,Creators of writing systems,
L. Jonathan Cohen,1923–2006,L._Jonathan_Cohen.txt,Jewish philosophers,
L. Susan Stebbing,1885–1943,L._Susan_Stebbing.txt,Analytic philosophers,
Lady Anne Finch Conway,1631–1679,Lady_Anne_Finch_Conway.txt,Philosophers of mind,Philosophers of mind
Lady Mary Shepherd,1777–1847,Lady_Mary_Shepherd.txt,Metaphysicians,Philosophers of mind
Lao Zi,4th century&nbsp;BC,Lao_Zi.txt,Philosophers of mind,Philosophers of mind
Laurens Perseus Hickok,1798–1888,Laurens_Perseus_Hickok.txt,American philosophers,
Leo Löwenthal,1900–1993,Leo_Löwenthal.txt,Jewish philosophers,
Leo Mikhailovich Lopatin,1855–1920,Leo_Mikhailovich_Lopatin.txt,19th-century philosophers,
Leo Strauss,1899–1973,Leo_Strauss.txt,Epistemologists,Philosophers of religion
Leo Tolstoy,1828–1910,Leo_Tolstoy.txt,Epistemologists,Philosophers of mind
Leon Brunschvicg,1869–1944,Leon_Brunschvicg.txt,Epistemologists,Philosophers of mind
Leon Chwistek,1884–1944,Leon_Chwistek.txt,1944 deaths,
Leon Petrazycki,1867–1931,Leon_Petrazycki.txt,Philosophers of law,Philosophers of law
Leon Trotsky,1879–1940,Leon_Trotsky.txt,Marxist theorists,
Leonard Nelson,1882–1927,Leonard_Nelson.txt,Jewish philosophers,
Leonard Trelawny Hobhouse,1864–1929,Leonard_Trelawny_Hobhouse.txt,English political philosophers,
Leonardo Boff,born 1938,Leonardo_Boff.txt,Catholic philosophers,
Leonardo da Vinci,1452–1519,Leonardo_da_Vinci.txt,Fluid dynamicists,
Leopold Kronecker,1823–1891,Leopold_Kronecker.txt,Humboldt University of Berlin alumni,
Leslie Stephen,1832–1904,Leslie_Stephen.txt,Fellows of the British Academy,
Leszek Kołakowski,1927–2009,Leszek_Kołakowski.txt,Spinoza scholars,
Leucippus,5th century&nbsp;BC,Leucippus.txt,Ontologists,
Lev Shestov,1866–1938,Lev_Shestov.txt,Jewish philosophers,
Lev Vygotsky,1896–1934,Lev_Vygotsky.txt,Philosophers of education,Philosophers of education
Lewis Carroll,1832–1898,Lewis_Carroll.txt,English philosophers,
Lewis H. Morgan,1818–1881,Lewis_H._Morgan.txt,Members of the American Antiquarian Society,
Liang Qichao,1873–1929,Liang_Qichao.txt,Chinese Confucianists,
Lie Yukou,c. 440 – c. 360& BC,Lie_Yukou.txt,Zhou dynasty philosophers,
Linji Yixuan,c. 810 – 867,Linji_Yixuan.txt,Year of birth unknown,
Linus Pauling,1901–1994,Linus_Pauling.txt,Fellows of the American Academy of Arts and Sciences,
Liu An,179–122 BC,Liu_An.txt,2nd-century BC Chinese philosophers,
Liu Shaoqi,1898–1969,Liu_Shaoqi.txt,1898 births,
Lon L. Fuller,1902–1978,Lon_L._Fuller.txt,Philosophers of law,Philosophers of law
Longinus (literature),1st century,Longinus_(literature).txt,Literary theorists,
Lorenz Oken,1779–1851,Lorenz_Oken.txt,19th-century German male writers,
Lorenzo Valla,1406–1457,Lorenzo_Valla.txt,Christian humanists,
Lorraine Code,born 1937,Lorraine_Code.txt,Epistemologists,
Louis Althusser,1918–1990,Louis_Althusser.txt,Continental philosophers,
Louis Couturat,1868–1914,Louis_Couturat.txt,Philosophers of language,Philosophers of language
Louis Gabriel Ambroise de Bonald,1754–1840,Louis_Gabriel_Ambroise_de_Bonald.txt,Catholic philosophers,
Louis Lavelle,1883–1951,Louis_Lavelle.txt,Ontologists,
Louis de La Forge,1632–1666,Louis_de_La_Forge.txt,French male non-fiction writers,
Lu Jiuyuan,1139–1193,Lu_Jiuyuan.txt,Chinese Confucianists,
"Luc de Clapiers, marquis de Vauvenargues",1715–1747,"Luc_de_Clapiers,_marquis_de_Vauvenargues.txt",Aphorists,
Luce Irigaray,born 1930,Luce_Irigaray.txt,Philosophers of mind,Philosophers of mind
Lucian,c. 120 – c. 180,Lucian.txt,2nd-century Romans,
Lucien Goldmann,1913–1970,Lucien_Goldmann.txt,Jewish philosophers,
Lucien Lévy-Bruhl,1857–1939,Lucien_Lévy-Bruhl.txt,French male non-fiction writers,
Lucilio Vanini,1585–1619,Lucilio_Vanini.txt,Atheist philosophers,
Lucio Colletti,1924–2001,Lucio_Colletti.txt,Marxist theorists,
Lucretius,c. 99 – 55 BC,Lucretius.txt,Epistemologists,Philosophers of science
Lucrezia Marinella,1571–1653,Lucrezia_Marinella.txt,1571 births,
Ludovico Silva,1937–1988,Ludovico_Silva.txt,1988 deaths,
Ludwig Andreas Feuerbach,1804–1872,Ludwig_Andreas_Feuerbach.txt,Epistemologists,Philosophers of mind
Ludwig Binswanger,1881–1966,Ludwig_Binswanger.txt,1881 births,
Ludwig Boltzmann,1844–1906,Ludwig_Boltzmann.txt,Foreign Members of the Royal Society,
Ludwig Büchner,1824–1899,Ludwig_Büchner.txt,Ontologists,Philosophers of science
Ludwig Klages,1872–1956,Ludwig_Klages.txt,Metaphysicians,Philosophers of mind
Ludwig Landgrebe,1902–1992,Ludwig_Landgrebe.txt,Continental philosophers,
Ludwig Wittgenstein,1889–1951,Ludwig_Wittgenstein.txt,Epistemologists,Philosophers of mind
Ludwig von Bertalanffy,1901–1972,Ludwig_von_Bertalanffy.txt,1901 births,
Ludwik Fleck,1896-1961,Ludwik_Fleck.txt,Philosophers of science,Philosophers of science
Luigi Ferri,1826–1895,Luigi_Ferri.txt,Italian philosophers,
Luis de Molina,1535–1600,Luis_de_Molina.txt,Catholic philosophers,
Luitzen Egbertus Jan Brouwer,1881–1966,Luitzen_Egbertus_Jan_Brouwer.txt,20th-century essayists,Philosophers of logic
Lynne Rudder Baker,1944–2017,Lynne_Rudder_Baker.txt,20th-century American philosophers,
Lysander Spooner,1808–1887,Lysander_Spooner.txt,Philosophy writers,
Lyubov Axelrod,1868–1946,Lyubov_Axelrod.txt,Jewish philosophers,Philosophers of the Russian Empire
M.N.Roy,1887–1954,M.N.Roy.txt,Philosophers of culture,Philosophers of culture
Madeleine de Scudéry,1607–1701,Madeleine_de_Scudéry.txt,French women novelists,
Madhava of Sangamagrama,died 1386,Madhava_of_Sangamagrama.txt,Indian Hindus,
Mahatma Gandhi,1869–1948,Mahatma_Gandhi.txt,Writers about activism and social change,
Mahavira,599–527&nbsp;BC,Mahavira.txt,Nonviolence advocates,
Maimonides,1135–1204,Maimonides.txt,Aristotelian philosophers,Philosophers of Judaism
Maine de Biran,1766–1824,Maine_de_Biran.txt,Epistemologists,Philosophers of mind
Malcolm Budd,born 1941,Malcolm_Budd.txt,Fellows of the British Academy,
Mani (prophet),3rd century,Mani_(prophet).txt,Year of birth uncertain,
Mao Zedong,1893–1976,Mao_Zedong.txt,Critics of religions,
Marcel Gauchet,born 1946,Marcel_Gauchet.txt,French male non-fiction writers,
Marcel Proust,1871–1922,Marcel_Proust.txt,Social critics,Philosophers of art
Marcion of Sinope,110–160,Marcion_of_Sinope.txt,Year of birth uncertain,
Marcus Aurelius,121–180,Marcus_Aurelius.txt,Philosophers of mind,Philosophers of mind
Margaret Cavendish,1623–1673,Margaret_Cavendish.txt,English philosophers,
Margaret Fell,1614–1702,Margaret_Fell.txt,17th-century English writers,
Marie de Gournay,1565–1645,Marie_de_Gournay.txt,French philosophers,
Marilyn Frye,born 1941,Marilyn_Frye.txt,20th-century American philosophers,Philosophers of language
Marilyn McCord Adams,1943–2017,Marilyn_McCord_Adams.txt,Analytic philosophers,Philosophers of religion
Marin Mersenne,1588–1648,Marin_Mersenne.txt,French male non-fiction writers,
Mario Bunge,1919–2020,Mario_Bunge.txt,Philosophers of science,Philosophers of science
Mark Sainsbury (philosopher),born 1943,Mark_Sainsbury_(philosopher).txt,Analytic philosophers,Philosophers of language
Marko Marulić,1450–1524,Marko_Marulić.txt,Christian humanists,
Marquis de Condorcet,1743–1794,Marquis_de_Condorcet.txt,Moral philosophers,Philosophers of science
Marsilio Ficino,1433–1499,Marsilio_Ficino.txt,Epistemologists,Philosophers of mind
Marsilius of Inghen,1330–1396,Marsilius_of_Inghen.txt,Scholastic philosophers,
Marsilius of Padua,1270–1342,Marsilius_of_Padua.txt,Scholastic philosophers,
Martha Nussbaum,born 1947,Martha_Nussbaum.txt,Philosophers of mind,Philosophers of mind
Martin Buber,1878–1965,Martin_Buber.txt,Epistemologists,Philosophers of mind
Martin Heidegger,1889–1976,Martin_Heidegger.txt,Epistemologists,Philosophers of culture
Martin Knutzen,1713–1751,Martin_Knutzen.txt,German male writers,
Martin Luther,1483–1546,Martin_Luther.txt,German male non-fiction writers,Philosophers of law
Martin Luther King Jr.,1929–1968,Martin_Luther_King_Jr..txt,Fellows of the American Academy of Arts and Sciences,
Mary Astell,1666–1731,Mary_Astell.txt,English philosophers,
Mary Midgley,1919–2018,Mary_Midgley.txt,Moral philosophers,
Mary Wollstonecraft,1759–1797,Mary_Wollstonecraft.txt,English philosophers,
Matthew Arnold,1822–1888,Matthew_Arnold.txt,Social critics,
Matthew Tindal,1657–1733,Matthew_Tindal.txt,Deist philosophers,
Matthew of Aquasparta,1238–1302,Matthew_of_Aquasparta.txt,Scholastic philosophers,
Maurice Blanchot,1907–2003,Maurice_Blanchot.txt,Moral philosophers,
Maurice Blondel,1861–1949,Maurice_Blondel.txt,Catholic philosophers,
Maurice Merleau-Ponty,1908–1961,Maurice_Merleau-Ponty.txt,Epistemologists,Philosophers of mind
Max Black,1909–1988,Max_Black.txt,Philosophers of science,Philosophers of science
Max Horkheimer,1895–1973,Max_Horkheimer.txt,Epistemologists,Philosophers of mind
Max Planck,1858–1947,Max_Planck.txt,Recipients of the Pour le Mérite (civil class),
Max Scheler,1874–1928,Max_Scheler.txt,Epistemologists,Philosophers of mind
Max Stirner,1806–1856,Max_Stirner.txt,Philosophers of ethics and morality,Philosophers of ethics and morality
Max Weber,1864–1920,Max_Weber.txt,Philosophers of culture,Philosophers of culture
Meister Eckhart,1260–1327/8,Meister_Eckhart.txt,German philosophers,
Melissus of Samos,late 5th century&nbsp;BC,Melissus_of_Samos.txt,Metaphysicians,
Menasseh Ben Israel,1604–1657,Menasseh_Ben_Israel.txt,Bible commentators,
Mencius,372–289 BC,Mencius.txt,Epistemologists,Philosophers of mind
Menyhért Palágyi,1859–1924,Menyhért_Palágyi.txt,Hungarian philosophers,
Merab Mamardashvili,1930–1990,Merab_Mamardashvili.txt,1990 deaths,
Michael A. Smith (philosopher),born 1954,Michael_A._Smith_(philosopher).txt,Philosophers of mind,Philosophers of mind
Michael Dummett,1925–2011,Michael_Dummett.txt,Epistemologists,Philosophers of science
Michael Faraday,1791–1867,Michael_Faraday.txt,Fellows of the American Academy of Arts and Sciences,
Michael Frede,1940–2007,Michael_Frede.txt,20th-century German philosophers,
Michael Hardt,born 1960,Michael_Hardt.txt,20th-century American philosophers,
Michael Löwy,born 1938,Michael_Löwy.txt,Jewish philosophers,
Michael Oakeshott,1901–1990,Michael_Oakeshott.txt,Philosophers of culture,Philosophers of culture
Michael Polanyi,1891–1976,Michael_Polanyi.txt,Philosophers of mind,Philosophers of mind
Michael Ruse,born 1940,Michael_Ruse.txt,Philosophers of science,Philosophers of science
Michael Sandel,born 1953,Michael_Sandel.txt,Moral philosophers,
Michael Tye (philosopher),born 1950,Michael_Tye_(philosopher).txt,Philosophers of mind,Philosophers of mind
Michael Walzer,born 1935,Michael_Walzer.txt,20th-century American philosophers,Philosophers of war
Michal Sedziwój,1566–1636,Michal_Sedziwój.txt,17th-century alchemists,
Michel Foucault,1926–1984,Michel_Foucault.txt,Epistemologists,Philosophers of science
Michel Henry,1922–2002,Michel_Henry.txt,Continental philosophers,
Michel Onfray,born 1959,Michel_Onfray.txt,Philosophers of mind,Philosophers of mind
Michel Serres,1930–2019,Michel_Serres.txt,Philosophers of science,Philosophers of science
Michel Villey,1914–1988,Michel_Villey.txt,Philosophers of law,Philosophers of law
Michel de Certeau,1925–1986,Michel_de_Certeau.txt,Catholic philosophers,
Michel de Montaigne,1533–1592,Michel_de_Montaigne.txt,Epistemologists,Philosophers of mind
Michelangelo Fardella,1646–1718,Michelangelo_Fardella.txt,1718 deaths,
Michèle Le Dœuff,born 1948,Michèle_Le_Dœuff.txt,20th-century French philosophers,
Miguel Abensour,1939–2017,Miguel_Abensour.txt,French male non-fiction writers,
Miguel de Unamuno,1864–1936,Miguel_de_Unamuno.txt,Epistemologists,Philosophers of mind
Mihailo Marković,1923–2010,Mihailo_Marković.txt,University of Michigan faculty,
Mikhail Bakhtin,1895–1975,Mikhail_Bakhtin.txt,Philosophers of language,Philosophers of language
Mikhail Bakunin,1814–1876,Mikhail_Bakunin.txt,Philosophers of culture,Philosophers of culture
Mikhail Lifshitz,1905–1983,Mikhail_Lifshitz.txt,Marxist theorists,
Miki Kiyoshi,1897–1945,Miki_Kiyoshi.txt,1945 deaths,
Mikyo Dorje,1507–1554,Mikyo_Dorje.txt,Tibetan philosophers,
Milan Kangrga,1923–2008,Milan_Kangrga.txt,Social philosophers,
Milan Vidmar,1885–1962,Milan_Vidmar.txt,University of Vienna alumni,
Mir Damad,died 1631,Mir_Damad.txt,Islamic philosophers,
Mircea Eliade,1907–1986,Mircea_Eliade.txt,Philosophers of religion,Philosophers of religion
Miura Baien,1723–1789,Miura_Baien.txt,1723 births,
Mohammed Arkoun,1928-2010,Mohammed_Arkoun.txt,University of Paris alumni,
Monroe Beardsley,1915–1985,Monroe_Beardsley.txt,20th-century American philosophers,Philosophers of art
Mordecai Kaplan,1881–1983,Mordecai_Kaplan.txt,20th-century American philosophers,Philosophers of Judaism
Moritz Schlick,1882–1936,Moritz_Schlick.txt,Philosophers of science,Philosophers of science
Morris Raphael Cohen,1880–1947,Morris_Raphael_Cohen.txt,Jewish philosophers,
Moses Hess,1812–1875,Moses_Hess.txt,Jewish philosophers,Philosophers of Judaism
Moses Mendelssohn,1729–1786,Moses_Mendelssohn.txt,Jewish philosophers,Philosophers of Judaism
Moses ben Jacob Cordovero,1522–1570,Moses_ben_Jacob_Cordovero.txt,"People from Córdoba, Spain",
Moses ibn Ezra,1070–1138,Moses_ibn_Ezra.txt,Rishonim,
Motoori Norinaga,1730–1801,Motoori_Norinaga.txt,Japanese writers of the Edo period,
Mozi,c. 470 – c. 390 BC,Mozi.txt,Epistemologists,Philosophers of mind
Muammar Gaddafi,1941–2011,Muammar_Gaddafi.txt,Political philosophers,
Muhammad Abduh,1849–1905,Muhammad_Abduh.txt,19th-century philosophers,
Muhammad Iqbal,1877–1938,Muhammad_Iqbal.txt,"Alumni of Trinity College, Cambridge",
Mulla Hadi Sabzevari,1797–1873,Mulla_Hadi_Sabzevari.txt,Islamic philosophers,
Mulla Sadra,1571–1640,Mulla_Sadra.txt,Metaphysicians,Philosophers of history
Muro Kyuso,1658–1734,Muro_Kyuso.txt,Neo-Confucian scholars,
Musonius Rufus,1st century,Musonius_Rufus.txt,Philosophers of ethics and morality,Philosophers of ethics and morality
Myles Frederic Burnyeat,1939–2019,Myles_Frederic_Burnyeat.txt,Philosophers of education,Philosophers of education
Nachman Krochmal,1785–1840,Nachman_Krochmal.txt,Jewish philosophers,Philosophers of Judaism
Nae Ionescu,1890–1940,Nae_Ionescu.txt,20th-century essayists,
Nagarjuna,ca. 200 CE,Nagarjuna.txt,Ontologists,
Nahmanides,1194–1270,Nahmanides.txt,Jewish philosophers,Philosophers of Judaism
Nancy Cartwright (philosopher),born 1943,Nancy_Cartwright_(philosopher).txt,Philosophers of science,Philosophers of science
Nasir al-Din al-Tusi,1201–1274,Nasir_al-Din_al-Tusi.txt,13th-century philosophers,
Nathan Salmon,born 1951,Nathan_Salmon.txt,Epistemologists,Philosophers of mind
Nathaniel Culverwel,1619–1651,Nathaniel_Culverwel.txt,British philosophers,
Ned Block,born 1942,Ned_Block.txt,Philosophers of mind,Philosophers of mind
Nelson Goodman,1906–1998,Nelson_Goodman.txt,Epistemologists,Philosophers of mind
Nemesius of Emesa,fl. c. 400,Nemesius_of_Emesa.txt,Christian philosophers,
Newton da Costa,born 1929,Newton_da_Costa.txt,1929 births,
Niccolò Machiavelli,1469–1527,Niccolò_Machiavelli.txt,Consequentialists,Philosophers of war
Nichiren,1222–1282,Nichiren.txt,Founders of Buddhist sects,
Nicholas Onufrievich Lossky,1870–1965,Nicholas_Onufrievich_Lossky.txt,Neoplatonists,Philosophers of the Russian Empire
Nicholas Rescher,born 1928,Nicholas_Rescher.txt,Epistemologists,
Nicholas Wolterstorff,born 1932,Nicholas_Wolterstorff.txt,Epistemologists,Philosophers of education
Nicholas of Autrecourt,c. 1300 – 1369,Nicholas_of_Autrecourt.txt,Scholastic philosophers,
Nicholas of Cusa,1401–1464,Nicholas_of_Cusa.txt,Scholastic philosophers,
Nicola Abbagnano,1901–1990,Nicola_Abbagnano.txt,Existentialists,
Nicolai Hartmann,1882–1950,Nicolai_Hartmann.txt,Metaphysicians,
Nicolas Boileau-Despréaux,1636–1711,Nicolas_Boileau-Despréaux.txt,University of Paris alumni,
Nicolas Malebranche,1638–1715,Nicolas_Malebranche.txt,Epistemologists,Philosophers of mind
Nicolaus Copernicus,1473–1543,Nicolaus_Copernicus.txt,German philosophers,
Nicolaus Taurellus,1547–1606,Nicolaus_Taurellus.txt,German philosophers,
Nicole Oresme,1320–1382,Nicole_Oresme.txt,University of Paris alumni,
Nicoletto Vernia,1442–1499,Nicoletto_Vernia.txt,Italian philosophers,
Nicos Poulantzas,1936–1979,Nicos_Poulantzas.txt,Marxist theorists,
Niels Bohr,1885–1962,Niels_Bohr.txt,Philosophers of science,Philosophers of science
Nikolai Berdyaev,1874–1948,Nikolai_Berdyaev.txt,Critics of Marxism,
Nikolai Bukharin,1888–1938,Nikolai_Bukharin.txt,Marxist theorists,
Nikolai Chernyshevsky,1828–1889,Nikolai_Chernyshevsky.txt,19th-century philosophers,
Nikolai Fyodorovich Fyodorov,1828–1906,Nikolai_Fyodorovich_Fyodorov.txt,Philosophers of mind,Philosophers of mind
Nikolai Ivanovich Kareev,1850–1931,Nikolai_Ivanovich_Kareev.txt,1931 deaths,
Nikolai Konstantinovich Mikhailovskii,1842–1904,Nikolai_Konstantinovich_Mikhailovskii.txt,Russian philosophers,
Nishi Amane,1829–1897,Nishi_Amane.txt,1897 deaths,
Nishida Kitaro,1870–1945,Nishida_Kitaro.txt,1870 births,
Nishitani Keiji,1900–1990,Nishitani_Keiji.txt,Ontologists,Philosophers of religion
Noah Porter,1811–1892,Noah_Porter.txt,American philosophers,
Noam Chomsky,born 1928,Noam_Chomsky.txt,Epistemologists,Philosophers of mind
Norberto Bobbio,1909–2004,Norberto_Bobbio.txt,Philosophers of law,Philosophers of law
Norman Kemp Smith,1872–1958,Norman_Kemp_Smith.txt,Metaphysicians,
Norman Malcolm,1911–1990,Norman_Malcolm.txt,Epistemologists,Philosophers of mind
Norman Robert Campbell,1880–1949,Norman_Robert_Campbell.txt,Philosophers of science,Philosophers of science
Norwood Russell Hanson,1922–1967,Norwood_Russell_Hanson.txt,Philosophers of science,Philosophers of science
Novalis,1772–1801,Novalis.txt,19th-century German male writers,
Nuel Belnap,born 1930,Nuel_Belnap.txt,Analytic philosophers,
Numenius of Apamea,2nd century,Numenius_of_Apamea.txt,Neoplatonists,
Octave Hamelin,1856–1907,Octave_Hamelin.txt,French male non-fiction writers,
Odo Marquard,1928–2015,Odo_Marquard.txt,20th-century German philosophers,
Oets Kolk Bouwsma,1898–1978,Oets_Kolk_Bouwsma.txt,Epistemologists,Philosophers of mind
Ogyū Sorai,1666–1728,Ogyū_Sorai.txt,Japanese writers of the Edo period,
Olaf Stapledon,1886–1950,Olaf_Stapledon.txt,Philosophers of mind,Philosophers of mind
"Oliver Wendell Holmes, Jr.",1841–1935,"Oliver_Wendell_Holmes,_Jr..txt",Philosophers of law,Philosophers of law
Olympiodorus the Younger,495–570,Olympiodorus_the_Younger.txt,Neoplatonists,
Omar Khayyam,1048–1131,Omar_Khayyam.txt,12th-century astronomers,
"Onora O'Neill, Baroness O'Neill of Bengarve",born 1941,"Onora_O'Neill,_Baroness_O'Neill_of_Bengarve.txt",Political philosophers,
Orestes Brownson,1803–1876,Orestes_Brownson.txt,Catholic philosophers,
Origen of Alexandria,c. 182–c. 251,Origen_of_Alexandria.txt,Anglican saints,
Oswald Külpe,1862–1915,Oswald_Külpe.txt,German male writers,
Oswald Spengler,1880–1936,Oswald_Spengler.txt,Philosophers of history,Philosophers of history
Othmar Spann,1878–1950,Othmar_Spann.txt,Writers from Vienna,
Otto Liebmann,1840–1912,Otto_Liebmann.txt,Jewish philosophers,
Otto Neurath,1882–1945,Otto_Neurath.txt,Philosophers of science,Philosophers of science
Otto Rühle,1874–1943,Otto_Rühle.txt,Marxist theorists,
Otto Weininger,1880–1903,Otto_Weininger.txt,Jewish philosophers,
P. F. Strawson,1919–2006,P._F._Strawson.txt,Epistemologists,Philosophers of mind
Panaetius,c. 185 – c. 110&nbsp;BC,Panaetius.txt,Hellenistic-era philosophers,
Pandurang Shastri Athavale,1920–2003,Pandurang_Shastri_Athavale.txt,20th-century Indian philosophers,
Paracelsus,1493–1541,Paracelsus.txt,16th-century Latin-language writers,
Parmenides,5th century&nbsp;BC,Parmenides.txt,Epistemologists,Philosophers of mind
Pasquale Galluppi,1770–1846,Pasquale_Galluppi.txt,Italian philosophers,
Patañjali,2nd century&nbsp;BC,Patañjali.txt,Philosophers of mind,Philosophers of mind
Patricia Churchland,born 1943,Patricia_Churchland.txt,Philosophers of mind,Philosophers of mind
Patricia Kitcher,born 1948,Patricia_Kitcher.txt,Epistemologists,Philosophers of mind
Paul Carus,1852–1919,Paul_Carus.txt,American male non-fiction writers,
Paul Churchland,born 1942,Paul_Churchland.txt,Epistemologists,Philosophers of mind
Paul Deussen,1845–1919,Paul_Deussen.txt,German male non-fiction writers,
Paul Edwards (philosopher),1923–2004,Paul_Edwards_(philosopher).txt,20th-century American philosophers,
Paul Feyerabend,1924–1994,Paul_Feyerabend.txt,Philosophers of science,Philosophers of science
Paul Gerhard Natorp,1854–1924,Paul_Gerhard_Natorp.txt,,
Paul Grice,1913–1988,Paul_Grice.txt,Epistemologists,Philosophers of mind
Paul Horwich,born 1947,Paul_Horwich.txt,Metaphysicians,Philosophers of language
Paul Lorenzen,1915–1995,Paul_Lorenzen.txt,Philosophers of language,Philosophers of language
Paul Ramsey (ethicist),1913–1988,Paul_Ramsey_(ethicist).txt,Princeton University faculty,
Paul Ree,1849–1901,Paul_Ree.txt,Moral philosophers,Philosophers of science
Paul Ricœur,1913–2005,Paul_Ricœur.txt,Moral philosophers,Philosophers of history
Paul Tillich,1886–1965,Paul_Tillich.txt,Epistemologists,Philosophers of mind
Paul Valéry,1871–1945,Paul_Valéry.txt,Epistemologists,
Paul Yorck von Wartenburg,1835–1897,Paul_Yorck_von_Wartenburg.txt,Philosophers of history,Philosophers of history
Paul de Man,1919–1983,Paul_de_Man.txt,Continental philosophers,
Paul of Venice,1369–1429,Paul_of_Venice.txt,Scholastic philosophers,
Paulo Freire,1921–1997,Paulo_Freire.txt,Philosophers of education,Philosophers of education
Pavel Aleksandrovich Florenskii,1882–1937,Pavel_Aleksandrovich_Florenskii.txt,Critics of atheism,Philosophers of the Russian Empire
Pavel Yudin,1899–1968,Pavel_Yudin.txt,1899 births,
