Name,Birth/death dates,File name,Category,Field
Assi Rahbani,1923–1986,Assi_Rahbani.txt,1923 births,
Athanasius of Alexandria,298–373,Athanasius_of_Alexandria.txt,Catholic philosophers,
August Cieszkowski,1814–1894,August_Cieszkowski.txt,Humboldt University of Berlin alumni,
August Wilhelm Rehberg,1757–1836,August_Wilhelm_Rehberg.txt,Philosophy academics,
August Wilhelm Schlegel,1767–1845,August_Wilhelm_Schlegel.txt,19th-century German male writers,
Auguste Comte,1798–1857,Auguste_Comte.txt,Moral philosophers,Philosophers of science
Augustine of Hippo,354–430,Augustine_of_Hippo.txt,Epistemologists,Philosophers of ethics and morality
Augustus De Morgan,1806–1871,Augustus_De_Morgan.txt,English philosophers,
Austin Marsden Farrer,1904–1968,Austin_Marsden_Farrer.txt,Fellows of the British Academy,
Averroes,1126–1198,Averroes.txt,Epistemologists,Philosophers of mind
Avicenna,980–1037,Avicenna.txt,Epistemologists,Philosophers of mind
Avital Ronell,born 1952,Avital_Ronell.txt,20th-century American philosophers,
Ayn Rand,1905–1982,Ayn_Rand.txt,Epistemologists,
B. F. Skinner,1904–1990,B._F._Skinner.txt,Philosophers of mind,Philosophers of mind
B. R. Ambedkar,1891–1956,B._R._Ambedkar.txt,Founders of religions,
Bahya ibn Paquda,1040–1110,Bahya_ibn_Paquda.txt,Rishonim,
Baltasar Gracián y Morales,1601–1658,Baltasar_Gracián_y_Morales.txt,Catholic philosophers,
Baron d'Holbach,1723–1789,Baron_d'Holbach.txt,Epistemologists,Philosophers of science
Baroness Mary Warnock,1924–2019,Baroness_Mary_Warnock.txt,Epistemologists,Philosophers of mind
Barry Smith (academic),born 1952,Barry_Smith_(academic).txt,Ontologists,
Barry Stroud,1935–2019,Barry_Stroud.txt,Epistemologists,
Bartholomew Keckermann,1571–1609,Bartholomew_Keckermann.txt,German male non-fiction writers,
Bartolomé de Medina,1527–1580,Bartolomé_de_Medina.txt,School of Salamanca,
Bartolus de Saxoferrato,1313–1357,Bartolus_de_Saxoferrato.txt,14th-century Latin writers,
Baruch Spinoza,1632–1677,Baruch_Spinoza.txt,Epistemologists,Philosophers of mind
Bas C. van Fraassen,born 1941,Bas_C._van_Fraassen.txt,Epistemologists,Philosophers of science
Basilides,c. 117–138,Basilides.txt,2nd-century Christian theologians,
Benedetto Croce,1866–1952,Benedetto_Croce.txt,Philosophers of history,Philosophers of history
Benjamin Constant,1767–1830,Benjamin_Constant.txt,Political philosophers,
Benjamin Fondane,1898–1944,Benjamin_Fondane.txt,20th-century French philosophers,
Benjamin Franklin,1706–1790,Benjamin_Franklin.txt,Moral philosophers,Philosophers of science
Benjamin Peirce,1809–1880,Benjamin_Peirce.txt,Harvard University alumni,
Benjamin Tucker,1854–1939,Benjamin_Tucker.txt,Philosophy writers,
Benjamin Whichcote,1609–1683,Benjamin_Whichcote.txt,English philosophers,
Benoît de Maillet,1656–1738,Benoît_de_Maillet.txt,Proto-evolutionary biologists,
Bernard Bolzano,1781–1848,Bernard_Bolzano.txt,Epistemologists,Philosophers of science
Bernard Bosanquet (philosopher),1848–1923,Bernard_Bosanquet_(philosopher).txt,Epistemologists,Philosophers of mind
Bernard Delfgaauw,1912–1993,Bernard_Delfgaauw.txt,1912 births,
Bernard Lonergan,1904–1984,Bernard_Lonergan.txt,Catholic philosophers,
Bernard Silvestris,1147–1178,Bernard_Silvestris.txt,Catholic philosophers,
Bernard Williams,1929–2003,Bernard_Williams.txt,Epistemologists,Philosophers of culture
Bernard de Mandeville,1670–1733,Bernard_de_Mandeville.txt,English political philosophers,
Bernard le Bovier de Fontenelle,1657–1757,Bernard_le_Bovier_de_Fontenelle.txt,Fellows of the Royal Society,
Bernard of Chartres,died 1130,Bernard_of_Chartres.txt,Scholastic philosophers,
Bernard of Clairvaux,1090–1153,Bernard_of_Clairvaux.txt,French male writers,
Bernardino Telesio,1509–1588,Bernardino_Telesio.txt,Italian philosophers,
Bernhard Riemann,1826–1866,Bernhard_Riemann.txt,Foreign Members of the Royal Society,
Bertrand Russell,1872–1970,Bertrand_Russell.txt,Epistemologists,Philosophers of mind
Bessarion,1403–1472,Bessarion.txt,15th-century philosophers,
Bhartrhari,5th century,Bhartrhari.txt,Indian male poets,
Blaise Pascal,1623–1662,Blaise_Pascal.txt,Catholic philosophers,
Blasius of Parma,1345–1416,Blasius_of_Parma.txt,Scholastic philosophers,
Boetius of Dacia,c. 1240–c. 1280,Boetius_of_Dacia.txt,Scholastic philosophers,
Bonaventure,1221–1274,Bonaventure.txt,Catholic philosophers,
Borden Parker Bowne,1847–1910,Borden_Parker_Bowne.txt,20th-century American philosophers,
