Name,Birth/death dates,File name
Christine de Pizan,c. 1365 – c. 1430,Christine_de_Pizan.txt
Christoph Friedrich Nicolai,1733–1811,Christoph_Friedrich_Nicolai.txt
Christopher Jacob Boström,1797–1866,Christopher_Jacob_Boström.txt
Christopher Peacocke,born 1950,Christopher_Peacocke.txt
Chrysippus,279–207 BC,Chrysippus.txt
Cicero,106 BC–43 BC,Cicero.txt
Clarembald of Arras,1110–1187,Clarembald_of_Arras.txt
Clarence Irving Lewis,1883–1964,Clarence_Irving_Lewis.txt
Claude Adrien Helvétius,1715–1771,Claude_Adrien_Helvétius.txt
Claude Bernard,1813–1878,Claude_Bernard.txt
Claude Buffier,1661–1737,Claude_Buffier.txt
"Claude Henri de Rouvroy, Comte de Saint-Simon",1760–1825,"Claude_Henri_de_Rouvroy,_Comte_de_Saint-Simon.txt"
Claude Lefort,1924–2010,Claude_Lefort.txt
Claude Lévi-Strauss,1908–2009,Claude_Lévi-Strauss.txt
Claudia Card,1940–2015,Claudia_Card.txt
Cleanthes,301–232 BC,Cleanthes.txt
Clement of Alexandria,2nd–3rd century,Clement_of_Alexandria.txt
Cleomedes,2nd century,Cleomedes.txt
Colin McGinn,born 1950,Colin_McGinn.txt
Colin Wilson,1931–2013,Colin_Wilson.txt
Comenius,1592–1670,Comenius.txt
Confucius,551 BC–479 BC,Confucius.txt
Constance Jones,1848–1922,Constance_Jones.txt
Conyers Middleton,1683–1750,Conyers_Middleton.txt
Cornel West,born 1953,Cornel_West.txt
Cornelius Castoriadis,1922–1997,Cornelius_Castoriadis.txt
Costanzo Preve,1943–2013,Costanzo_Preve.txt
Cotton Mather,1663–1728,Cotton_Mather.txt
Cratylus,c. 400 BC,Cratylus.txt
Crispin Sartwell,born 1958,Crispin_Sartwell.txt
Crispin Wright,born 1942,Crispin_Wright.txt
Curt Ducasse,1881–1969,Curt_Ducasse.txt
Cyrano de Bergerac (writer),1619–1655,Cyrano_de_Bergerac_(writer).txt
D. Hugh Mellor,1938–2020,D._Hugh_Mellor.txt
Dagfinn Føllesdal,born 1932,Dagfinn_Føllesdal.txt
Damaris Cudworth Masham,1659–1708,Damaris_Cudworth_Masham.txt
Damascius,c. 462–540,Damascius.txt
Daniel Dennett,born 1942,Daniel_Dennett.txt
Daniel Raymond,1786–1849,Daniel_Raymond.txt
Dante Alighieri,1265–1321,Dante_Alighieri.txt
Dariush Shayegan,1935–2018,Dariush_Shayegan.txt
Daryush Shokof,born 1954,Daryush_Shokof.txt
David Baumgardt,1890–1963,David_Baumgardt.txt
David Bohm,1917–1992,David_Bohm.txt
David Fordyce,1711–1751,David_Fordyce.txt
David Friedrich Strauss,1808–1874,David_Friedrich_Strauss.txt
David Gauthier,born 1932,David_Gauthier.txt
David H.M. Brooks,1950-1996,David_H.M._Brooks.txt
David Hartley (philosopher),1705–1757,David_Hartley_(philosopher).txt
David Hilbert,1862–1943,David_Hilbert.txt
David Hume,1711–1776,David_Hume.txt
David Ibn Merwan Al-Mukammas,died 937,David_Ibn_Merwan_Al-Mukammas.txt
David Kaplan (philosopher),born 1933,David_Kaplan_(philosopher).txt
David Lewis (philosopher),1941–2001,David_Lewis_(philosopher).txt
David Malet Armstrong,1926–2014,David_Malet_Armstrong.txt
David Papineau,born 1947,David_Papineau.txt
David Pears,1921–2009,David_Pears.txt
David Ricardo,1772–1823,David_Ricardo.txt
David Stove,1927–1994,David_Stove.txt
David Sztybel,born 1967,David_Sztybel.txt
David Wiggins,born 1933,David_Wiggins.txt
David of Dinant,12th century,David_of_Dinant.txt
David the Invincible,late 6th century,David_the_Invincible.txt
Debendranath Tagore,1817–1905,Debendranath_Tagore.txt
Democritus,460–370 BC,Democritus.txt
Denis Diderot,1713–1784,Denis_Diderot.txt
Denys the Carthusian,1402–1471,Denys_the_Carthusian.txt
Derek Parfit,1942–2017,Derek_Parfit.txt
Desiderius Erasmus,1466–1536,Desiderius_Erasmus.txt
Dewi Zephaniah Phillips,1934–2006,Dewi_Zephaniah_Phillips.txt
Dharmakirti,c. 7th century,Dharmakirti.txt
Dietrich Bonhoeffer,1906–1945,Dietrich_Bonhoeffer.txt
Dietrich of Freiberg,13th century,Dietrich_of_Freiberg.txt
Dignaga,c. 480–c. 540,Dignaga.txt
Dimitri Pisarev,1840–1868,Dimitri_Pisarev.txt
Dimitri Uznadze,1886–1950,Dimitri_Uznadze.txt
Diodorus Cronus,3rd century BC,Diodorus_Cronus.txt
Diogenes Laërtius,3rd century,Diogenes_Laërtius.txt
Diogenes of Apollonia,c. 460 BC,Diogenes_of_Apollonia.txt
Diogenes of Babylon,c. 230–c. 150/140 BC,Diogenes_of_Babylon.txt
Diogenes of Oenoanda,2nd century,Diogenes_of_Oenoanda.txt
Diogenes of Sinope,412–323 BC,Diogenes_of_Sinope.txt
Dirk Benedict,born 1945,Dirk_Benedict.txt
Dogen,1200–1253,Dogen.txt
