Name,Birth/death dates,File name
Plutarch,c. 45 – c. 120,Plutarch.txt
Pope Gregory I,540–604,Pope_Gregory_I.txt
Pope Silvester II,c. 950–1003,Pope_Silvester_II.txt
Porphyry (philosopher),c. 232 – c. 304,Porphyry_(philosopher).txt
Posidonius,c. 135 – 51&nbsp;BC,Posidonius.txt
Prabhat Rainjan Sarkar,1921–1990,Prabhat_Rainjan_Sarkar.txt
Proclus,412–487,Proclus.txt
Prodicus,c. 450 – 399&nbsp;BC,Prodicus.txt
Profiat Duran,c. 1349–c. 1414,Profiat_Duran.txt
Protagoras,c. 481 – 420&nbsp;BC,Protagoras.txt
Pseudo-Dionysius the Areopagite,5th century,Pseudo-Dionysius_the_Areopagite.txt
Ptolemy,c. 85 – c. 165,Ptolemy.txt
Pyotr Chaadaev,1794–1856,Pyotr_Chaadaev.txt
Pyrrho,c. 360 – c. 270,Pyrrho.txt
Pythagoras,582 – 496&nbsp;BC,Pythagoras.txt
R. G. Collingwood,1889–1943,R._G._Collingwood.txt
R. M. Hare,1919–2002,R._M._Hare.txt
R.R. Rockingham Gill,born 1944,R.R._Rockingham_Gill.txt
Rabindranath Tagore,1861–1941,Rabindranath_Tagore.txt
Radovan Richta,1924–1983,Radovan_Richta.txt
Radulphus Brito,c. 1270–c. 1320,Radulphus_Brito.txt
Rafael Gambra Ciudad,1920–2004,Rafael_Gambra_Ciudad.txt
Raimo Tuomela,1940–2020,Raimo_Tuomela.txt
Ralph Barton Perry,1876–1957,Ralph_Barton_Perry.txt
Ralph Cudworth,1617–1688,Ralph_Cudworth.txt
Ralph Waldo Emerson,1803–1882,Ralph_Waldo_Emerson.txt
Ram Gopal Varma,born 1989,Ram_Gopal_Varma.txt
Ramakrishna,1836–1886,Ramakrishna.txt
Ramanuja,1017–1137,Ramanuja.txt
Ramon Llull,1235–1315,Ramon_Llull.txt
Raya Dunayevskaya,1910–1987,Raya_Dunayevskaya.txt
Raymond Smullyan,1919–2017,Raymond_Smullyan.txt
Raymond Williams,1921–1988,Raymond_Williams.txt
Raúl Scalabrini Ortiz,1898–1959,Raúl_Scalabrini_Ortiz.txt
Reinhold Niebuhr,1892–1971,Reinhold_Niebuhr.txt
René Descartes,1596–1650,René_Descartes.txt
René Le Senne,1882–1954,René_Le_Senne.txt
Richard Avenarius,1843–1896,Richard_Avenarius.txt
Richard B. Brandt,1910–1997,Richard_B._Brandt.txt
Richard Bentley,1662–1742,Richard_Bentley.txt
Richard Brinkley,fl. 1350–1373,Richard_Brinkley.txt
Richard Burthogge,1638–1704,Richard_Burthogge.txt
Richard C. Jeffrey,1926–2002,Richard_C._Jeffrey.txt
Richard Cumberland (philosopher),1631?–1718,Richard_Cumberland_(philosopher).txt
Richard Dedekind,1831–1916,Richard_Dedekind.txt
Richard FitzRalph,c. 1300–1360,Richard_FitzRalph.txt
Richard Fumerton,born 1949,Richard_Fumerton.txt
Richard Hooker (theologian),1554–1600,Richard_Hooker_(theologian).txt
Richard Hönigswald,1875–1947,Richard_Hönigswald.txt
Richard Kilvington,1302–1361,Richard_Kilvington.txt
Richard Montague,1930–1971,Richard_Montague.txt
Richard Overton (pamphleteer),died c. 1665,Richard_Overton_(pamphleteer).txt
Richard Posner,born 1939,Richard_Posner.txt
Richard Price,1723–1791,Richard_Price.txt
Richard Rorty,1931–2007,Richard_Rorty.txt
Richard Rufus of Cornwall,1231–1259,Richard_Rufus_of_Cornwall.txt
Richard Schacht,born 1941,Richard_Schacht.txt
Richard Stanley Peters,1919–2011,Richard_Stanley_Peters.txt
Richard Swinburne,born 1934,Richard_Swinburne.txt
Richard Sylvan,1935–1996,Richard_Sylvan.txt
Richard Taylor (philosopher),1919–2003,Richard_Taylor_(philosopher).txt
Richard Wollheim,1923–2003,Richard_Wollheim.txt
Richard of Middleton,c. 1249–1306,Richard_of_Middleton.txt
Richard of St. Victor,died 1173,Richard_of_St._Victor.txt
Richard-Bevan Braithwaite,1900–1990,Richard-Bevan_Braithwaite.txt
Robert Alyngton,died 1398,Robert_Alyngton.txt
Robert Bellarmine,1542–1621,Robert_Bellarmine.txt
Robert Boyle,1627–1691,Robert_Boyle.txt
Robert Desgabets,1610–1678,Robert_Desgabets.txt
Robert Filmer,1588–1653,Robert_Filmer.txt
Robert Fludd,1574–1637,Robert_Fludd.txt
Robert Grosseteste,1175–1253,Robert_Grosseteste.txt
Robert Holcot,1290–1349,Robert_Holcot.txt
Robert J. Fogelin,1932–2016,Robert_J._Fogelin.txt
Robert Joseph Pothier,1699–1772,Robert_Joseph_Pothier.txt
Robert Kilwardby,1215–1279,Robert_Kilwardby.txt
Robert Merrihew Adams,born 1937,Robert_Merrihew_Adams.txt
Robert Nozick,1938–2001,Robert_Nozick.txt
Robert Stalnaker,born 1940,Robert_Stalnaker.txt
Roberto Ardigò,1828–1920,Roberto_Ardigò.txt
Roderick Chisholm,1916–1999,Roderick_Chisholm.txt
Rodolphus Agricola,1443–1485,Rodolphus_Agricola.txt
Roger Bacon,1214–1294,Roger_Bacon.txt
Roger Marston,1235–1303,Roger_Marston.txt
Roger Scruton,1944–2020,Roger_Scruton.txt
Roland Barthes,1915–1980,Roland_Barthes.txt
Roman Ingarden,1893–1970,Roman_Ingarden.txt
Ronald Dworkin,1931–2013,Ronald_Dworkin.txt
Ronald Fisher,1890–1962,Ronald_Fisher.txt
Rosa Luxemburg,1871–1919,Rosa_Luxemburg.txt
Roscelin of Compiègne,c. 1050–c. 1120,Roscelin_of_Compiègne.txt
Roscoe Pound,1870–1964,Roscoe_Pound.txt
Roy Wood Sellars,1880–1973,Roy_Wood_Sellars.txt
Ruan Ji,210–263,Ruan_Ji.txt
Rudi Supek,1913–1993,Rudi_Supek.txt
Rudjer Boscovich,1711–1787,Rudjer_Boscovich.txt
Rudolf Bultmann,1884–1976,Rudolf_Bultmann.txt
Rudolf Carnap,1891–1970,Rudolf_Carnap.txt
Rudolf Christoph Eucken,1846–1926,Rudolf_Christoph_Eucken.txt
Rudolf Otto,1869–1937,Rudolf_Otto.txt
Rudolf Steiner,1861–1925,Rudolf_Steiner.txt
Rudolf von Jhering,1818–1892,Rudolf_von_Jhering.txt
Rudolph Goclenius,1547–1628,Rudolph_Goclenius.txt
Ruth Barcan Marcus,1921–2012,Ruth_Barcan_Marcus.txt
Ruth Millikan,born 1933,Ruth_Millikan.txt
Réginald Garrigou-Lagrange,1887–1964,Réginald_Garrigou-Lagrange.txt
Régis Debray,born 1940,Régis_Debray.txt
Saadia Gaon,892–942,Saadia_Gaon.txt
Sakya Pandita,1182–1251,Sakya_Pandita.txt
Salomon Maimon,1753–1800,Salomon_Maimon.txt
Samuel Alexander,1859–1938,Samuel_Alexander.txt
Samuel Bold,1649–1737,Samuel_Bold.txt
Samuel Butler (1835–1902),1835–1902,Samuel_Butler_(1835–1902).txt
Samuel Clarke,1675–1729,Samuel_Clarke.txt
Samuel Johnson,1709–1784,Samuel_Johnson.txt
Samuel Johnson (Columbia),1696–1772,Samuel_Johnson_(Columbia).txt
Samuel Johnson (pamphleteer),1649–1703,Samuel_Johnson_(pamphleteer).txt
Samuel Pufendorf,1632–1694,Samuel_Pufendorf.txt
Samuel Taylor Coleridge,1772–1834,Samuel_Taylor_Coleridge.txt
Samuel ibn Tibbon,c. 1165 – 1232,Samuel_ibn_Tibbon.txt
Sandra Harding,born 1935,Sandra_Harding.txt
Sarvepalli Radhakrishnan,1888–1975,Sarvepalli_Radhakrishnan.txt
Saul Kripke,born 1940,Saul_Kripke.txt
Scott Soames,born 1946,Scott_Soames.txt
Sebastian Franck,1499–1542,Sebastian_Franck.txt
Seiichi Hatano,1877–1950,Seiichi_Hatano.txt
Semën Liudvigovich Frank,1877–1950,Semën_Liudvigovich_Frank.txt
Seneca the Younger,c. 4 BC–AD 65,Seneca_the_Younger.txt
Sengzhao,384–414,Sengzhao.txt
Sergei Bulgakov,1871–1944,Sergei_Bulgakov.txt
Sergey Nechayev,1847–1882,Sergey_Nechayev.txt
Sergio Bagú,1911–2002,Sergio_Bagú.txt
Sextus Empiricus,2nd/3rd century,Sextus_Empiricus.txt
Shadworth Hodgson,1832–1912,Shadworth_Hodgson.txt
Shah Wali Allah,1703–1762,Shah_Wali_Allah.txt
Shahab al-Din Yahya ibn Habash Suhrawardi,1154–1191,Shahab_al-Din_Yahya_ibn_Habash_Suhrawardi.txt
Shang Yang,died 338 BC,Shang_Yang.txt
Shantideva,8th century,Shantideva.txt
Shao Yung,1011–1077,Shao_Yung.txt
Shen Buhai,died 337 BC,Shen_Buhai.txt
Shen Dao,c. 350 – 275 BC,Shen_Dao.txt
Shinran,1173–1261,Shinran.txt
Shri Madhvacharya,1238–1317,Shri_Madhvacharya.txt
Shriharsha,12th c.,Shriharsha.txt
Sidney Hook,1902–1989,Sidney_Hook.txt
Sigerus of Brabant,1240–1284,Sigerus_of_Brabant.txt
Sigmund Freud,1856–1939,Sigmund_Freud.txt
Simeon Duran,1361–1444,Simeon_Duran.txt
Simon Blackburn,born 1944,Simon_Blackburn.txt
Simon Foucher,1644–1696,Simon_Foucher.txt
Simon of Faversham,c. 1260–1306,Simon_of_Faversham.txt
Simone Weil,1909–1943,Simone_Weil.txt
Simone de Beauvoir,1908–1986,Simone_de_Beauvoir.txt
Simplicius of Cilicia,early 6th century,Simplicius_of_Cilicia.txt
"Sir William Hamilton, 9th Baronet",1788–1856,"Sir_William_Hamilton,_9th_Baronet.txt"
Slavoj Žižek,born 1949,Slavoj_Žižek.txt
Socrates,470–399 BC,Socrates.txt
Solomon Ibn Gabirol,1021–1058,Solomon_Ibn_Gabirol.txt
Sophie de Condorcet,1764–1822,Sophie_de_Condorcet.txt
Speusippus,410–339 BC,Speusippus.txt
Sri Aurobindo,1872–1950,Sri_Aurobindo.txt
Stanislaw Lesniewski,1886–1939,Stanislaw_Lesniewski.txt
Stanislaw Staszic,1755–1826,Stanislaw_Staszic.txt
Stanisław Ignacy Witkiewicz,1885–1939,Stanisław_Ignacy_Witkiewicz.txt
Stanley Cavell,1926–2018,Stanley_Cavell.txt
Stephen Stich,born 1944,Stephen_Stich.txt
Stilpo,c. 360 – c. 280 BC,Stilpo.txt
Strato of Lampsacus,c. 340 – c. 268 BC,Strato_of_Lampsacus.txt
Stuart Hampshire,1914–2004,Stuart_Hampshire.txt
Sun Tzu,c. 5th century BC,Sun_Tzu.txt
Sun Yat-sen,1866–1925,Sun_Yat-sen.txt
Susan Haack,born 1945,Susan_Haack.txt
Susan Mendus,born 1951,Susan_Mendus.txt
Susanne Langer,1895–1985,Susanne_Langer.txt
Svetozar Marković,1846–1875,Svetozar_Marković.txt
Swami Vivekananda,1863–1902,Swami_Vivekananda.txt
Sydney Shoemaker,born 1931,Sydney_Shoemaker.txt
Syed Zafarul Hasan,1885–1949,Syed_Zafarul_Hasan.txt
Syrianus,5th century,Syrianus.txt
Søren Kierkegaard,1813–1855,Søren_Kierkegaard.txt
T'an Ssu-t'ung,1864–1898,T'an_Ssu-t'ung.txt
T. M. Scanlon,born 1940,T._M._Scanlon.txt
T. S. Eliot,1888–1965,T._S._Eliot.txt
Tadeusz Kotarbiński,1886–1981,Tadeusz_Kotarbiński.txt
Tai Chen,1724–1777,Tai_Chen.txt
Tanabe Hajime,1885–1962,Tanabe_Hajime.txt
Terence Irwin,born 1947,Terence_Irwin.txt
Teresa of Avila,1515–1582,Teresa_of_Avila.txt
Tertullian,c. 160 – c. 220,Tertullian.txt
Thales,c. 635 – 543 BC,Thales.txt
Themistius,317–387,Themistius.txt
Theodor Adorno,1903–1969,Theodor_Adorno.txt
Theodor Lipps,1851–1914,Theodor_Lipps.txt
Theodore Parker,1810–1860,Theodore_Parker.txt
Theodorus of Cyrene,c. 465 – 398 BC,Theodorus_of_Cyrene.txt
Theophrastus,372–287 BC,Theophrastus.txt
Thierry of Chartres,fl. c. 1130–1150,Thierry_of_Chartres.txt
Thom Brooks,born 1973,Thom_Brooks.txt
Thomas Aquinas,1225–1274,Thomas_Aquinas.txt
Thomas Bradwardine,c. 1290–1349,Thomas_Bradwardine.txt
Thomas Brown (philosopher),1778–1820,Thomas_Brown_(philosopher).txt
Thomas Cajetan,1469–1534,Thomas_Cajetan.txt
Thomas Carlyle,1795–1881,Thomas_Carlyle.txt
Thomas Chubb,1679–1747,Thomas_Chubb.txt
Thomas Henry Huxley,1825–1895,Thomas_Henry_Huxley.txt
Thomas Hill Green,1836–1882,Thomas_Hill_Green.txt
Thomas Hobbes,1588–1679,Thomas_Hobbes.txt
Thomas Jefferson,1743–1826,Thomas_Jefferson.txt
Thomas Malthus,1766–1834,Thomas_Malthus.txt
Thomas More,1478–1535,Thomas_More.txt
Thomas Morgan (deist),died 1743,Thomas_Morgan_(deist).txt
Thomas Nagel,born 1937,Thomas_Nagel.txt
Thomas Paine,1737–1809,Thomas_Paine.txt
Thomas Percival,1740–1804,Thomas_Percival.txt
Thomas Reid,1710–1796,Thomas_Reid.txt
Thomas Samuel Kuhn,1922–1996,Thomas_Samuel_Kuhn.txt
Thomas Spencer Baynes,1823–1887,Thomas_Spencer_Baynes.txt
Thomas White (philosopher),1593–1676,Thomas_White_(philosopher).txt
Thomas of Erfurt,14th century,Thomas_of_Erfurt.txt
Thomas of York (Franciscan),13th century,Thomas_of_York_(Franciscan).txt
Thomas à Kempis,1380–1471,Thomas_à_Kempis.txt
Thome H. Fang,1899–1976,Thome_H._Fang.txt
Thoralf Skolem,1887–1963,Thoralf_Skolem.txt
Thrasymachus,5th century BC,Thrasymachus.txt
Thucydides,c. 460 – c. 400 BC,Thucydides.txt
Théodore Simon Jouffroy,1796–1842,Théodore_Simon_Jouffroy.txt
Timaeus of Locri,5th century BC,Timaeus_of_Locri.txt
Timon (philosopher),c. 300 BC,Timon_(philosopher).txt
Timothy L.S. Sprigge,1932–2007,Timothy_L.S._Sprigge.txt
Timothy Williamson,born 1955,Timothy_Williamson.txt
Toju Nakae,1608–1648,Toju_Nakae.txt
Tominaga Nakamoto,1715–1746,Tominaga_Nakamoto.txt
Tommaso Campanella,1568–1639,Tommaso_Campanella.txt
Tomáš Masaryk,1850–1937,Tomáš_Masaryk.txt
Tyler Burge,born 1946,Tyler_Burge.txt
Tzvetan Todorov,1939–2017,Tzvetan_Todorov.txt
Udayana,11th century,Udayana.txt
Uddyotakara,6th century,Uddyotakara.txt
Uisang,625–702,Uisang.txt
Ulrich of Strasbourg,1220–1277,Ulrich_of_Strasbourg.txt
Umberto Eco,1932–2016,Umberto_Eco.txt
Uppaluri Gopala Krishnamurti,1918–2007,Uppaluri_Gopala_Krishnamurti.txt
Urbanus Rhegius,1489–1541,Urbanus_Rhegius.txt
Uriel da Costa,1585–1640,Uriel_da_Costa.txt
Valentin Feldman,1909–1942,Valentin_Feldman.txt
Valentin Ferdinandovich Asmus,1894–1975,Valentin_Ferdinandovich_Asmus.txt
Valentin Voloshinov,1895–1936,Valentin_Voloshinov.txt
Valentinius,c. 100 – c. 153,Valentinius.txt
Valentino Annibale Pastore,1868–1956,Valentino_Annibale_Pastore.txt
Vallabhacharya,1479–1531,Vallabhacharya.txt
Vasily Rozanov,1856–1919,Vasily_Rozanov.txt
Vasubandhu,4th century,Vasubandhu.txt
Vatsyayana,5th century,Vatsyayana.txt
Victor Cousin,1792–1867,Victor_Cousin.txt
Victor Serge,1890–1947,Victor_Serge.txt
"Victoria, Lady Welby",1837–1912,"Victoria,_Lady_Welby.txt"
Vilfredo Pareto,1848–1923,Vilfredo_Pareto.txt
Vincent Descombes,born 1943,Vincent_Descombes.txt
Vincenzo Gioberti,1801–1852,Vincenzo_Gioberti.txt
Virgil Aldrich,1903–1998,Virgil_Aldrich.txt
Virginia Held,born 1929,Virginia_Held.txt
Vissarion Belinsky,1811–1848,Vissarion_Belinsky.txt
Vital Du Four,1260–1327,Vital_Du_Four.txt
Vladimir Jankélévitch,1903–1985,Vladimir_Jankélévitch.txt
Vladimir Lenin,1870–1924,Vladimir_Lenin.txt
Vladimir Solovyov (philosopher),1853–1900,Vladimir_Solovyov_(philosopher).txt
Voltaire,1694–1778,Voltaire.txt
Vyacheslav Ivanov (poet),1866–1949,Vyacheslav_Ivanov_(poet).txt
W. E. B. Du Bois,1868–1963,W._E._B._Du_Bois.txt
W. V. O. Quine,1908–2000,W._V._O._Quine.txt
Walter Benjamin,1892–1940,Walter_Benjamin.txt
Walter Burley,c. 1275–c. 1345,Walter_Burley.txt
Walter Charleton,1619–1707,Walter_Charleton.txt
Walter Chatton,1290–1343,Walter_Chatton.txt
Walter Kaufmann (philosopher),1921–1980,Walter_Kaufmann_(philosopher).txt
Walter Pater,1839–1904,Walter_Pater.txt
Walter Terence Stace,1886–1967,Walter_Terence_Stace.txt
Wang Bi,226–249,Wang_Bi.txt
Wang Ch'ung (philosopher),27–97,Wang_Ch'ung_(philosopher).txt
Wang Fuzhi,1619–1692,Wang_Fuzhi.txt
Wang Yangming,1472–1529,Wang_Yangming.txt
Watsuji Tetsuro,1889–1960,Watsuji_Tetsuro.txt
Weonhyo,617–686,Weonhyo.txt
Werner Heisenberg,1901–1976,Werner_Heisenberg.txt
Wesley Newcomb Hohfeld,1879–1918,Wesley_Newcomb_Hohfeld.txt
Wesley Salmon,1925–2001,Wesley_Salmon.txt
Wilfrid Sellars,1912–1989,Wilfrid_Sellars.txt
Wilhelm Dilthey,1833–1911,Wilhelm_Dilthey.txt
Wilhelm Ostwald,1853–1932,Wilhelm_Ostwald.txt
Wilhelm Reich,1897–1957,Wilhelm_Reich.txt
Wilhelm Windelband,1848–1915,Wilhelm_Windelband.txt
Wilhelm Wundt,1832–1920,Wilhelm_Wundt.txt
Wilhelm von Humboldt,1767–1835,Wilhelm_von_Humboldt.txt
Will Durant,1885–1981,Will_Durant.txt
William Alston,1921–2009,William_Alston.txt
William Blackstone,1723–1780,William_Blackstone.txt
William Blake,1757–1827,William_Blake.txt
William Chillingworth,1602–1644,William_Chillingworth.txt
William Crathorn,14th century,William_Crathorn.txt
William David Ross,1877–1971,William_David_Ross.txt
William Ellery Channing,1780–1842,William_Ellery_Channing.txt
William Ernest Hocking,1873–1966,William_Ernest_Hocking.txt
William Ernest Johnson,1858–1931,William_Ernest_Johnson.txt
William Godwin,1756–1836,William_Godwin.txt
William Harvey,1578–1657,William_Harvey.txt
William Hazlitt,1778–1830,William_Hazlitt.txt
William James,1842–1910,William_James.txt
William K. Frankena,1908–1994,William_K._Frankena.txt
William Kingdon Clifford,1845–1879,William_Kingdon_Clifford.txt
William Kneale (logician),1906–1990,William_Kneale_(logician).txt
William Law,1686–1761,William_Law.txt
William Lycan,born 1945,William_Lycan.txt
William McDougall (psychologist),1871–1938,William_McDougall_(psychologist).txt
William Paley,1743–1805,William_Paley.txt
William Pepperell Montague,1873–1953,William_Pepperell_Montague.txt
William Ralph Inge,1860–1954,William_Ralph_Inge.txt
William Ritchie Sorley,1855–1935,William_Ritchie_Sorley.txt
William S. Sahakian,1922–1986,William_S._Sahakian.txt
William Stanley Jevons,1835–1882,William_Stanley_Jevons.txt
William Temple (archbishop),1881–1944,William_Temple_(archbishop).txt
William Thompson (Cork),1775–1833,William_Thompson_(Cork).txt
William Torrey Harris,1835–1909,William_Torrey_Harris.txt
William Whewell,1794–1866,William_Whewell.txt
William Wollaston,1659–1724,William_Wollaston.txt
William of Alnwick,1270–1333,William_of_Alnwick.txt
"William of Auvergne, Bishop of Paris",1180–1249,"William_of_Auvergne,_Bishop_of_Paris.txt"
William of Auxerre,died 1231,William_of_Auxerre.txt
William of Champeaux,c. 1070 – 1121,William_of_Champeaux.txt
William of Conches,c. 1080 – 1154,William_of_Conches.txt
William of Heytesbury,1313–1373,William_of_Heytesbury.txt
William of Moerbeke,c. 1215 – 1286,William_of_Moerbeke.txt
William of Ockham,c. 1285–1349,William_of_Ockham.txt
William of Shyreswood,1190–1249,William_of_Shyreswood.txt
Wladyslaw Tatarkiewicz,1886–1980,Wladyslaw_Tatarkiewicz.txt
Wolfgang Köhler,1887–1967,Wolfgang_Köhler.txt
Wolfhart Pannenberg,1928–2014,Wolfhart_Pannenberg.txt
Wonchuk,613–696,Wonchuk.txt
Woo Tsin-hang,1865–1953,Woo_Tsin-hang.txt
Xavier Zubiri,1889–1983,Xavier_Zubiri.txt
Xenocrates,396–314 BC,Xenocrates.txt
Xenophon,427–355 BC,Xenophon.txt
Xu Xing (philosopher),c. 300 BC,Xu_Xing_(philosopher).txt
Xun Zi,c. 310–237 BC,Xun_Zi.txt
Yahya ibn Adi,893–974,Yahya_ibn_Adi.txt
Yajnavalkya,c. 1800 BC,Yajnavalkya.txt
Yan Yuan (Qing dynasty),1635–1704,Yan_Yuan_(Qing_dynasty).txt
Yang Chu,370–319 BC,Yang_Chu.txt
Yang Xiong (author),died 338 BC,Yang_Xiong_(author).txt
Yehuda Halevi,c. 1085–1141,Yehuda_Halevi.txt
Yeshayahu Leibowitz,1903–1994,Yeshayahu_Leibowitz.txt
Yi Hwang,1501–1570,Yi_Hwang.txt
Yi I,1536–1584,Yi_I.txt
Yohanan ben Isaac Alemanno,1433–1504,Yohanan_ben_Isaac_Alemanno.txt
Zeami Motokiyo,c. 1363 – c. 1443,Zeami_Motokiyo.txt
Zeno of Citium,333–264 BC,Zeno_of_Citium.txt
Zeno of Elea,c. 495 – c. 430 BC,Zeno_of_Elea.txt
Zeno of Sidon,1st century BC,Zeno_of_Sidon.txt
Zeno of Tarsus,fl. 200 BC,Zeno_of_Tarsus.txt
Zhiyi,538–597,Zhiyi.txt
Zhou Guoping,born 1945,Zhou_Guoping.txt
Zhu Xi,1130–1200,Zhu_Xi.txt
Zhuang Zhou,circa 300 BC,Zhuang_Zhou.txt
Zongmi,780–841,Zongmi.txt
Zou Yan,3rd century BC,Zou_Yan.txt
al-Tawhidi,c. 930 – 1023,al-Tawhidi.txt
Ágnes Heller,1929–2019,Ágnes_Heller.txt
Álvaro Vieira Pinto,1909–1987,Álvaro_Vieira_Pinto.txt
Ángel Cappelletti,1927–1995,Ángel_Cappelletti.txt
Émile Durkheim,1858–1917,Émile_Durkheim.txt
Émile Littré,1801–1881,Émile_Littré.txt
Émile Saisset,1814–1863,Émile_Saisset.txt
Émilie du Châtelet,1706–1749,Émilie_du_Châtelet.txt
Éric Weil,1904–1977,Éric_Weil.txt
Étienne Balibar,born 1942,Étienne_Balibar.txt
Étienne Bonnot de Condillac,1715–1780,Étienne_Bonnot_de_Condillac.txt
Étienne Gilson,1884–1978,Étienne_Gilson.txt
Śāntarakṣita,725–788,Śāntarakṣita.txt
